WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
08;02;;;krośnieński;powiat;2024-01-01
18;07;;;krośnieński;powiat;2024-01-01
30;12;;;krotoszyński;powiat;2024-01-01
10;02;;;kutnowski;powiat;2024-01-01
22;07;;;kwidzyński;powiat;2024-01-01
14;08;;;legionowski;powiat;2024-01-01
02;62;;;Legnica;miasto na prawach powiatu;2024-01-01
02;09;;;legnicki;powiat;2024-01-01
18;21;;;leski;powiat;2024-01-01
30;13;;;leszczyński;powiat;2024-01-01
30;63;;;Leszno;miasto na prawach powiatu;2024-01-01
18;08;;;leżajski;powiat;2024-01-01
22;08;;;lęborski;powiat;2024-01-01
28;09;;;lidzbarski;powiat;2024-01-01
12;07;;;limanowski;powiat;2024-01-01
04;08;;;lipnowski;powiat;2024-01-01
14;09;;;lipski;powiat;2024-01-01
18;09;;;lubaczowski;powiat;2024-01-01
02;10;;;lubański;powiat;2024-01-01
06;08;;;lubartowski;powiat;2024-01-01
06;09;;;lubelski;powiat;2024-01-01
02;11;;;lubiński;powiat;2024-01-01
06;63;;;Lublin;miasto na prawach powiatu;2024-01-01
24;07;;;lubliniecki;powiat;2024-01-01
02;12;;;lwówecki;powiat;2024-01-01
18;10;;;łańcucki;powiat;2024-01-01
10;03;;;łaski;powiat;2024-01-01
10;04;;;łęczycki;powiat;2024-01-01
06;10;;;łęczyński;powiat;2024-01-01
32;18;;;łobeski;powiat;2024-01-01
20;62;;;Łomża;miasto na prawach powiatu;2024-01-01
20;07;;;łomżyński;powiat;2024-01-01
14;10;;;łosicki;powiat;2024-01-01
10;05;;;łowicki;powiat;2024-01-01
10;06;;;łódzki wschodni;powiat;2024-01-01
10;61;;;Łódź;miasto na prawach powiatu;2024-01-01
06;11;;;łukowski;powiat;2024-01-01
14;11;;;makowski;powiat;2024-01-01
22;09;;;malborski;powiat;2024-01-01
12;08;;;miechowski;powiat;2024-01-01
18;11;;;mielecki;powiat;2024-01-01
30;14;;;międzychodzki;powiat;2024-01-01
08;03;;;międzyrzecki;powiat;2024-01-01
24;08;;;mikołowski;powiat;2024-01-01
02;13;;;milicki;powiat;2024-01-01
14;12;;;miński;powiat;2024-01-01
14;13;;;mławski;powiat;2024-01-01
04;09;;;mogileński;powiat;2024-01-01
20;08;;;moniecki;powiat;2024-01-01
28;10;;;mrągowski;powiat;2024-01-01
24;70;;;Mysłowice;miasto na prawach powiatu;2024-01-01
24;09;;;myszkowski;powiat;2024-01-01
12;09;;;myślenicki;powiat;2024-01-01
32;10;;;myśliborski;powiat;2024-01-01
04;10;;;nakielski;powiat;2024-01-01
16;06;;;namysłowski;powiat;2024-01-01
28;11;;;nidzicki;powiat;2024-01-01
18;12;;;niżański;powiat;2024-01-01
14;14;;;nowodworski;powiat;2024-01-01
22;10;;;nowodworski;powiat;2024-01-01
28;12;;;nowomiejski;powiat;2024-01-01
12;10;;;nowosądecki;powiat;2024-01-01
08;04;;;nowosolski;powiat;2024-01-01
12;11;;;nowotarski;powiat;2024-01-01
30;15;;;nowotomyski;powiat;2024-01-01
12;62;;;Nowy Sącz;miasto na prawach powiatu;2024-01-01
16;07;;;nyski;powiat;2024-01-01
30;16;;;obornicki;powiat;2024-01-01
28;13;;;olecki;powiat;2024-01-01
16;08;;;oleski;powiat;2024-01-01
02;14;;;oleśnicki;powiat;2024-01-01
12;12;;;olkuski;powiat;2024-01-01
28;62;;;Olsztyn;miasto na prawach powiatu;2024-01-01
28;14;;;olsztyński;powiat;2024-01-01
02;15;;;oławski;powiat;2024-01-01
26;06;;;opatowski;powiat;2024-01-01
10;07;;;opoczyński;powiat;2024-01-01
16;61;;;Opole;miasto na prawach powiatu;2024-01-01
06;12;;;opolski;powiat;2024-01-01
16;09;;;opolski;powiat;2024-01-01
14;15;;;ostrołęcki;powiat;2024-01-01
14;61;;;Ostrołęka;miasto na prawach powiatu;2024-01-01
26;07;;;ostrowiecki;powiat;2024-01-01
14;16;;;ostrowski;powiat;2024-01-01
30;17;;;ostrowski;powiat;2024-01-01
28;15;;;ostródzki;powiat;2024-01-01
30;18;;;ostrzeszowski;powiat;2024-01-01
12;13;;;oświęcimski;powiat;2024-01-01
14;17;;;otwocki;powiat;2024-01-01
10;08;;;pabianicki;powiat;2024-01-01
10;09;;;pajęczański;powiat;2024-01-01
06;13;;;parczewski;powiat;2024-01-01
14;18;;;piaseczyński;powiat;2024-01-01
24;71;;;Piekary Śląskie;miasto na prawach powiatu;2024-01-01
30;19;;;pilski;powiat;2024-01-01
26;08;;;pińczowski;powiat;2024-01-01
10;10;;;piotrkowski;powiat;2024-01-01
10;62;;;Piotrków Trybunalski;miasto na prawach powiatu;2024-01-01
28;16;;;piski;powiat;2024-01-01
30;20;;;pleszewski;powiat;2024-01-01
14;62;;;Płock;miasto na prawach powiatu;2024-01-01
14;19;;;płocki;powiat;2024-01-01
14;20;;;płoński;powiat;2024-01-01
10;11;;;poddębicki;powiat;2024-01-01
32;11;;;policki;powiat;2024-01-01
02;16;;;polkowicki;powiat;2024-01-01
30;64;;;Poznań;miasto na prawach powiatu;2024-01-01
30;21;;;poznański;powiat;2024-01-01
12;14;;;proszowicki;powiat;2024-01-01
16;10;;;prudnicki;powiat;2024-01-01
14;21;;;pruszkowski;powiat;2024-01-01
14;22;;;przasnyski;powiat;2024-01-01
18;13;;;przemyski;powiat;2024-01-01
18;62;;;Przemyśl;miasto na prawach powiatu;2024-01-01
18;14;;;przeworski;powiat;2024-01-01
14;23;;;przysuski;powiat;2024-01-01
24;10;;;pszczyński;powiat;2024-01-01
22;11;;;pucki;powiat;2024-01-01
06;14;;;puławski;powiat;2024-01-01
14;24;;;pułtuski;powiat;2024-01-01
32;12;;;pyrzycki;powiat;2024-01-01
24;11;;;raciborski;powiat;2024-01-01
14;63;;;Radom;miasto na prawach powiatu;2024-01-01
14;25;;;radomski;powiat;2024-01-01
10;12;;;radomszczański;powiat;2024-01-01
04;11;;;radziejowski;powiat;2024-01-01
06;15;;;radzyński;powiat;2024-01-01
30;22;;;rawicki;powiat;2024-01-01
10;13;;;rawski;powiat;2024-01-01
18;15;;;ropczycko-sędziszowski;powiat;2024-01-01
24;72;;;Ruda Śląska;miasto na prawach powiatu;2024-01-01
24;12;;;rybnicki;powiat;2024-01-01
24;73;;;Rybnik;miasto na prawach powiatu;2024-01-01
06;16;;;rycki;powiat;2024-01-01
04;12;;;rypiński;powiat;2024-01-01
18;16;;;rzeszowski;powiat;2024-01-01
18;63;;;Rzeszów;miasto na prawach powiatu;2024-01-01
26;09;;;sandomierski;powiat;2024-01-01
18;17;;;sanocki;powiat;2024-01-01
20;09;;;sejneński;powiat;2024-01-01
04;13;;;sępoleński;powiat;2024-01-01
14;64;;;Siedlce;miasto na prawach powiatu;2024-01-01
14;26;;;siedlecki;powiat;2024-01-01
24;74;;;Siemianowice Śląskie;miasto na prawach powiatu;2024-01-01
20;10;;;siemiatycki;powiat;2024-01-01
10;14;;;sieradzki;powiat;2024-01-01
14;27;;;sierpecki;powiat;2024-01-01
26;10;;;skarżyski;powiat;2024-01-01
10;63;;;Skierniewice;miasto na prawach powiatu;2024-01-01
10;15;;;skierniewicki;powiat;2024-01-01
32;13;;;sławieński;powiat;2024-01-01
08;05;;;słubicki;powiat;2024-01-01
30;23;;;słupecki;powiat;2024-01-01
22;63;;;Słupsk;miasto na prawach powiatu;2024-01-01
22;12;;;słupski;powiat;2024-01-01
14;28;;;sochaczewski;powiat;2024-01-01
14;29;;;sokołowski;powiat;2024-01-01
20;11;;;sokólski;powiat;2024-01-01
22;64;;;Sopot;miasto na prawach powiatu;2024-01-01
24;75;;;Sosnowiec;miasto na prawach powiatu;2024-01-01
18;18;;;stalowowolski;powiat;2024-01-01
26;11;;;starachowicki;powiat;2024-01-01
32;14;;;stargardzki;powiat;2024-01-01
22;13;;;starogardzki;powiat;2024-01-01
26;12;;;staszowski;powiat;2024-01-01
16;11;;;strzelecki;powiat;2024-01-01
